"id" "sex" "age" "KRN"
"1" "Elite_2G1" 1 90 15.1
"2" "Elite_3A1" 1 90 13.7
"3" "Elite_1G3" 1 90 14.2
"4" "Elite_2G2" 1 90 14.9
"5" "Elite_1D3" 1 90 13.7
"6" "Elite_3D1" 1 90 15
"7" "Elite_2G3" 1 90 14.1
"8" "Elite_2A9" 1 90 13.9
"9" "Elite_3B2" 1 90 16.4
"10" "Elite_2A1" 1 90 12.6
"11" "Elite_1H1" 1 90 15.8
"12" "Elite_1C1" 1 90 14.3
"13" "Elite_2G4" 1 90 14.9
"14" "Elite_1C2" 1 90 16
"15" "Elite_2E11" 1 90 10.4
"16" "Elite_2C9" 1 90 14.7
"17" "Elite_2C10" 1 90 14
"18" "Elite_2C11" 1 90 10.8
"19" "Elite_2A10" 1 90 15.1
"20" "Elite_1H9" 1 90 16.8
"21" "Elite_1H10" 1 90 16.7
"22" "Elite_2D10" 1 90 14.4
"23" "Elite_2G5" 1 90 11.7
"24" "Elite_2E12" 1 90 15.3
"25" "Elite_2F1" 1 90 15
"26" "Elite_1A1" 1 90 15.8
"27" "Elite_2F2" 1 90 15.2
"28" "Elite_2D1" 1 90 13.8
"29" "Elite_2D9" 1 90 13.2
"30" "Elite_1D11" 1 90 14
"31" "Elite_2G6" 1 90 15.4
"32" "Elite_1E9" 1 90 16
"33" "Elite_1G7" 1 90 13.1
"34" "Elite_1A12" 1 90 17.1
"35" "Elite_1B10" 1 90 12.6
"36" "Elite_1G5" 1 90 12.6
"37" "Elite_3A2" 1 90 13.1
"38" "Elite_1G11" 1 90 12.9
"39" "Elite_1H6" 1 90 17.4
"40" "Elite_3A7" 1 90 12.6
"41" "Elite_1C12" 1 90 10.8
"42" "Elite_1D9" 1 90 16.7
"43" "Elite_1G8" 1 90 15.8
"44" "Elite_1F10" 1 90 15.1
"45" "Elite_2D11" 1 90 12
"46" "Elite_1B11" 1 90 15.3
"47" "Elite_1F3" 1 90 15.6
"48" "Elite_1G9" 1 90 16.1
"49" "Elite_2H10" 1 90 13.6
"50" "Elite_2G7" 1 90 12.8
"51" "Elite_1H4" 1 90 17
"52" "Elite_1H7" 1 90 13.7
"53" "Elite_2E3" 1 90 12
"54" "Elite_2G8" 1 90 14.2
"55" "Elite_2E4" 1 90 14.1
"56" "Elite_2E5" 1 90 12.9
"57" "Elite_3A8" 1 90 12.6
"58" "Elite_3A9" 1 90 13.8
"59" "Elite_3A10" 1 90 13.2
"60" "Elite_3A11" 1 90 13.4
"61" "Elite_1D6" 1 90 15.3
"62" "Elite_3D2" 1 90 14.7
"63" "Elite_1F6" 1 90 16
"64" "Elite_1G10" 1 90 13.2
"65" "Elite_1A4" 1 90 11.1
"66" "Elite_1C4" 1 90 14.2
"67" "Elite_1G2" 1 90 15.8
"68" "Elite_1G1" 1 90 13.2
"69" "Elite_1F11" 1 90 13.7
"70" "Elite_2D3" 1 90 13.8
"71" "Elite_2F3" 1 90 15.6
"72" "Elite_1H12" 1 90 18.2
"73" "Elite_2D4" 1 90 13.2
"74" "Elite_1A7" 1 90 13.2
"75" "Elite_1A8" 1 90 13.4
"76" "Elite_1A9" 1 90 15
"77" "Elite_1B1" 1 90 14.1
"78" "Elite_1B2" 1 90 16.1
"79" "Elite_1B3" 1 90 15.3
"80" "Elite_1A10" 1 90 16
"81" "Elite_1A2" 1 90 15.7
"82" "Elite_1A5" 1 90 17.3
"83" "Elite_1A11" 1 90 16.6
"84" "Elite_1A3" 1 90 14.6
"85" "Elite_1C5" 1 90 14.2
"86" "Elite_1D7" 1 90 12.3
"87" "Elite_1A6" 1 90 14.8
"88" "Elite_1F4" 1 90 14.1
"89" "Elite_1F5" 1 90 14.7
"90" "Elite_1F7" 1 90 10.9
"91" "Elite_2C6" 1 90 9.4
"92" "Elite_2A11" 1 90 9.9
"93" "Elite_2B1" 1 90 10.8
"94" "Elite_2E6" 1 90 10.6
"95" "Elite_2D5" 1 90 13.7
"96" "Elite_2D7" 1 90 12.8
"97" "Elite_2F4" 1 90 10.8
"98" "Elite_1F9" 1 90 14
"99" "Elite_1H2" 1 90 19.6
"100" "Elite_2D6" 1 90 13.4
"101" "Elite_1H3" 1 90 14.7
"102" "Elite_1D10" 1 90 15
"103" "Elite_1F2" 1 90 15.1
"104" "Elite_1E12" 1 90 14
"105" "Elite_2D2" 1 90 17.7
"106" "Elite_1C6" 1 90 15.7
"107" "Elite_1H8" 1 90 12.3
"108" "Elite_2D12" 1 90 16.8
"109" "Elite_1D4" 1 90 14
"110" "Elite_2G9" 1 90 12.4
"111" "Elite_1D5" 1 90 16.3
"112" "Elite_1F8" 1 90 12.3
"113" "Elite_1E10" 1 90 12.3
"114" "Elite_1D8" 1 90 15
"115" "Elite_1B12" 1 90 15.5
"116" "Elite_1C3" 1 90 13.7
"117" "Elite_1D12" 1 90 13.9
"118" "Elite_2H8" 1 90 12.7
"119" "Elite_2D8" 1 90 14.4
"120" "Elite_2H9" 1 90 12.6
"121" "Elite_2E1" 1 90 16.4
"122" "Elite_1E1" 1 90 16.5
"123" "Elite_2A2" 1 90 14.9
"124" "Elite_1G6" 1 90 13.6
"125" "Elite_1F12" 1 90 13.8
"126" "Elite_2B2" 1 90 15.1
"127" "Elite_1G4" 1 90 14.3
"128" "Elite_1G12" 1 90 12.6
"129" "Elite_2B3" 1 90 14.6
"130" "Elite_1H11" 1 90 13.8
"131" "Elite_2B4" 1 90 15.1
"132" "Elite_2E2" 1 90 15.4
"133" "Elite_2G10" 1 90 13.4
"134" "Elite_3B3" 1 90 13.9
"135" "Elite_3B4" 1 90 12.6
"136" "Elite_2B5" 1 90 12.2
"137" "Elite_1B5" 1 90 14
"138" "Elite_3B5" 1 90 17.8
"139" "Elite_3B6" 1 90 13.4
"140" "Elite_1C7" 1 90 13.8
"141" "Elite_2E7" 1 90 10.9
"142" "Elite_2E8" 1 90 15.3
"143" "Elite_3B7" 1 90 17
"144" "Elite_2F5" 1 90 15.6
"145" "Elite_2F6" 1 90 13.8
"146" "Elite_1C8" 1 90 14.1
"147" "Elite_3B8" 1 90 14.2
"148" "Elite_2G11" 1 90 15.1
"149" "Elite_3B9" 1 90 15
"150" "Elite_1C9" 1 90 14.1
"151" "Elite_2F7" 1 90 14.2
"152" "Elite_3B10" 1 90 13.7
"153" "Elite_1B6" 1 90 14.2
"154" "Elite_3B11" 1 90 13
"155" "Elite_2G12" 1 90 14.2
"156" "Elite_1C10" 1 90 14.1
"157" "Elite_3C1" 1 90 14.1
"158" "Elite_3C2" 1 90 15.9
"159" "Elite_2H1" 1 90 15.4
"160" "Elite_3C3" 1 90 13.8
"161" "Elite_3C4" 1 90 14.3
"162" "Elite_1B7" 1 90 14.6
"163" "Elite_1E2" 1 90 14
"164" "Elite_1E3" 1 90 14.7
"165" "Elite_2E9" 1 90 16.7
"166" "Elite_1E4" 1 90 13
"167" "Elite_2H2" 1 90 14.1
"168" "Elite_2C7" 1 90 13
"169" "Elite_2H3" 1 90 14
"170" "Elite_1C11" 1 90 15.8
"171" "Elite_1D1" 1 90 13.2
"172" "Elite_3C5" 1 90 14.8
"173" "Elite_3C6" 1 90 16.7
"174" "Elite_2H4" 1 90 14.8
"175" "Elite_3C7" 1 90 15
"176" "Elite_2F8" 1 90 15.8
"177" "Elite_2H5" 1 90 12.9
"178" "Elite_1E5" 1 90 13.7
"179" "Elite_2F9" 1 90 13.4
"180" "Elite_1B8" 1 90 13.9
"181" "Elite_3C8" 1 90 15.3
"182" "Elite_1E6" 1 90 13
"183" "Elite_2F10" 1 90 16
"184" "Elite_2E10" 1 90 14.2
"185" "Elite_1E7" 1 90 14.3
"186" "Elite_3C9" 1 90 13.9
"187" "Elite_2C8" 1 90 16.3
"188" "Elite_3C10" 1 90 16.9
"189" "Elite_1D2" 1 90 14.6
"190" "Elite_3C11" 1 90 16.7
"191" "Elite_1B9" 1 90 13.8
"192" "Elite_2H6" 1 90 14.4
"193" "Elite_2F11" 1 90 16.8
"194" "Elite_2H7" 1 90 13.1
"195" "Elite_1E8" 1 90 12.7
"196" "Elite_2B6" 1 90 12.6
"197" "Elite_1H5" 1 90 13.8
"198" "Elite_1B4" 1 90 16.4
"199" "Elite_2H11" 1 90 15.8
"200" "Elite_2H12" 1 90 13.8
"201" "Elite_1F1" 1 90 10.8
"202" "Elite_2F12" 1 90 17.4
"203" "Elite_3B1" 1 90 17.1
"204" "Elite_3A6" 1 90 14.3
"205" "Elite_3A3" 1 90 12.1
"206" "Elite_3A4" 1 90 12.3
"207" "Elite_3A5" 1 90 12.1
"208" "Elite_1E11" 1 90 13.8
