Row,pedigree,KRN,CL,CD,CW,KC,TKW,AKW,I,Pedigree,Genotype,FBNote,Farm
6512,11-6512-10@,22,52,2.9,8.2,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6512,11-6512-11@,20,178,2.7,20.73,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6512,11-6512-3@,20,160,2.9,32.87,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6512,11-6512-5@,20,169,2.3,22.27,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6512,11-6512-7@,18,91,2.6,12.86,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6512,11-6512-9@,20,135,2.7,25.87,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6512,6512-4,22,188.89,NA,NA,928,228.27,0.245980603,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6512,6512-6,20,150.54,NA,NA,489,125.96,0.257586912,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6512,6512-8,26,196.07,NA,NA,730,189.08,0.259013699,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6512,6512-1,22,192.6,NA,NA,833,213.49,0.256290516,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6512,6512-2,18,170.86,NA,NA,581,179.46,0.308881239,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6513,11-6513-1@,16,142,2.6,24.06,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6513,11-6513-5@,20,151,3,42.09,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6513,6513-3,24,200.04,NA,NA,936,221.42,0.236559829,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6513,6513-2,16,199.49,NA,NA,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6513,11-6513-6@,20,156,2.6,23.71,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6514,11-6514-1@,20,76,3.5,24.15,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6514,11-6514-5@,20,130,3,21.56,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6514,11-6514-9@,22,92,2,13.39,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6514,11-6514-11@,20,69,3,12.19,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6514,6514-7,20,168.64,NA,NA,705,197.42,0.280028369,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6514,11-6514-8@,24,140,2.9,29.5,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6514,11-6514-10@,20,125,2.6,14.94,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6514,6514-2,20,133,NA,NA,543,137.57,0.25335175,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6514,6514-6,16,25.17,NA,NA,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6514,6514-4,16,153.92,NA,NA,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6515,11-6515-1@,16,88,3,19.76,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6515,6515-4,24,146.06,NA,NA,557,142.47,0.255780969,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6515,6515-5,20,52.35,NA,NA,2,0.27,0.135,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6515,11-6515-7@,18,142,2.5,24.8,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6515,11-6515-8@,20,43,3.2,5.3,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6515,6515-2,18,118.15,NA,NA,245,56.75,0.231632653,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6516,11-6516-3@,20,131,2.4,25.86,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6516,6516-10,16,179.28,NA,NA,701,191.06,0.272553495,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6516,6516-5,16,110.81,NA,NA,272,76.68,0.281911765,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6516,6516-1,18,131.6,NA,NA,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6516,11-6516-4@,18,59,2.8,13.7,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6516,11-6516-6@,20,100,3.3,26.91,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6516,11-6516-8@,22,57,3,7.7,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6516,6516-7,16,52.16,NA,NA,47,12.76,0.271489362,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6516,6516-9,20,158.63,NA,NA,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6517,11-6517-7@,16,164,2.5,29.89,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6517,11-6517-8@,18,132,2.5,33.08,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6517,11-6517-10@,20,140,2.4,23.94,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6517,11-6517-5@,16,157,2.4,28,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6517,11-6517-9@,18,93,2.6,14.12,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6517,11-6517-2@,20,140,2.6,37.22,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6517,11-6517-4@,20,106,2.7,22.73,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6517,11-6517-1@,22,176,2.4,32.31,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6517,11-6517-6@,20,117,2.6,17.73,NA,NA,NA,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
6518,6518-7,18,136.73,NA,NA,385,131.44,0.341402597,LC,Ac4546,BSLE(M-S)C30,Agron Hall Ac Seed,Curtiss
