Chr,LOD,Additive,SigMarker,SigPos,Left,Right,Trait,Pop,Method
1,5.3373,-0.2782,PZB01957.1,43.21,33.11,43.21,wmean,Joint,CIM6
1,5.4006,-0.2784,PHM1968.22,98.41,89.61,100.31,wmean,Joint,CIM6
1,4.0035,-0.24,PZA00658.21,132.91,132.91,134.71,wmean,Joint,CIM6
1,4.5905,0.2556,PZA01807.1,202.01,202.01,202.01,wmean,Joint,CIM6
2,14.726,0.473,PZA01993.7,67.21,57.91,74.81,wmean,Joint,CIM6
3,3.2936,0.2264,PZA02090.1,17.01,17.01,17.01,wmean,Joint,CIM6
3,5.1293,0.2814,PHM4955.12,67.21,61.81,75.31,wmean,Joint,CIM6
3,12.4965,0.4322,PZA03255.1,102.41,93.61,107.31,wmean,Joint,CIM6
4,5.7718,0.2998,PZA00683.4,24.01,0.01,26.91,wmean,Joint,CIM6
4,6.2452,0.3118,PZA00139.4,45.91,38.91,62.01,wmean,Joint,CIM6
4,56.1538,0.9406,PZA00694.6,117.11,97.21,125.51,wmean,Joint,CIM6
5,10.9607,0.3964,PZA00643.13,69.71,50.01,73.51,wmean,Joint,CIM6
6,7.055,-0.3194,PZA01589.2,43.11,31.71,45.91,wmean,Joint,CIM6
7,3.4465,-0.2254,PZA03344.2,46.81,46.81,48.41,wmean,Joint,CIM6
8,6.8546,-0.325,PZA00904.1,104.71,95.61,109.91,wmean,Joint,CIM6
9,4.3681,0.2644,PHM3925.79,2.01,2.01,2.01,wmean,Joint,CIM6
10,3.3968,0.2308,PZA02663.1,66.81,64.51,70.21,wmean,Joint,CIM6
