"id" "sex" "age" "KRN"
"815" "BSLE_1A1" 1 90 1
"816" "BSLE_1A10" 1 90 1
"817" "BSLE_1A11" 1 90 1
"818" "BSLE_1A12" 1 90 1
"819" "BSLE_1A2" 1 90 1
"820" "BSLE_1A3" 1 90 1
"821" "BSLE_1A4" 1 90 1
"822" "BSLE_1A5" 1 90 1
"823" "BSLE_1A6" 1 90 1
"824" "BSLE_1A7" 1 90 1
"825" "BSLE_1A8" 1 90 1
"826" "BSLE_1A9" 1 90 1
"827" "BSLE_1B1" 1 90 1
"831" "BSLE_1B2" 1 90 1
"832" "BSLE_1B3" 1 90 1
"833" "BSLE_1B4" 1 90 1
"834" "BSLE_1B5" 1 90 1
"835" "BSLE_1B6" 1 90 1
"836" "BSLE_1B7" 1 90 1
"837" "BSLE_1B8" 1 90 1
"839" "BSLE_1C1" 1 90 1
"840" "BSLE_1C10" 1 90 1
"841" "BSLE_1C11" 1 90 1
"842" "BSLE_1C12" 1 90 1
"843" "BSLE_1C2" 1 90 1
"844" "BSLE_1C3" 1 90 1
"845" "BSLE_1C4" 1 90 1
"846" "BSLE_1C5" 1 90 1
"847" "BSLE_1C6" 1 90 1
"848" "BSLE_1C7" 1 90 1
"849" "BSLE_1C8" 1 90 1
"850" "BSLE_1C9" 1 90 1
"851" "BSLE_1D1" 1 90 1
"852" "BSLE_1D10" 1 90 1
"853" "BSLE_1D11" 1 90 1
"855" "BSLE_1D2" 1 90 1
"856" "BSLE_1D3" 1 90 1
"857" "BSLE_1D4" 1 90 1
"858" "BSLE_1D5" 1 90 1
"859" "BSLE_1D6" 1 90 1
"860" "BSLE_1D7" 1 90 1
"861" "BSLE_1D8" 1 90 1
"862" "BSLE_1D9" 1 90 1
"863" "BSLE_1E1" 1 90 1
"864" "BSLE_1E10" 1 90 1
"867" "BSLE_1E2" 1 90 1
"868" "BSLE_1E3" 1 90 1
"869" "BSLE_1E4" 1 90 1
"870" "BSLE_1E5" 1 90 1
"871" "BSLE_1E6" 1 90 1
"872" "BSLE_1E7" 1 90 1
"873" "BSLE_1E8" 1 90 1
"874" "BSLE_1E9" 1 90 1
"875" "BSLE_1F1" 1 90 1
"876" "BSLE_1F10" 1 90 1
"879" "BSLE_1F2" 1 90 1
"880" "BSLE_1F3" 1 90 1
"881" "BSLE_1F4" 1 90 1
"882" "BSLE_1F5" 1 90 1
"883" "BSLE_1F6" 1 90 1
"884" "BSLE_1F7" 1 90 1
"885" "BSLE_1F8" 1 90 1
"886" "BSLE_1F9" 1 90 1
"887" "BSLE_1G1" 1 90 1
"888" "BSLE_1G10" 1 90 1
"889" "BSLE_1G11" 1 90 1
"890" "BSLE_1G12" 1 90 1
"891" "BSLE_1G2" 1 90 1
"892" "BSLE_1G3" 1 90 1
"893" "BSLE_1G4" 1 90 1
"894" "BSLE_1G5" 1 90 1
"895" "BSLE_1G6" 1 90 1
"896" "BSLE_1G7" 1 90 1
"897" "BSLE_1G8" 1 90 1
"898" "BSLE_1G9" 1 90 1
"899" "BSLE_1H1" 1 90 1
"901" "BSLE_1H11" 1 90 1
"902" "BSLE_1H12" 1 90 1
"903" "BSLE_1H2" 1 90 1
"904" "BSLE_1H3" 1 90 1
"905" "BSLE_1H4" 1 90 1
"906" "BSLE_1H5" 1 90 1
"907" "BSLE_1H6" 1 90 1
"908" "BSLE_1H7" 1 90 1
"909" "BSLE_1H8" 1 90 1
"910" "BSLE_1H9" 1 90 1
"911" "BSLE_2A1" 1 90 1
"912" "BSLE_2A10" 1 90 1
"915" "BSLE_2A2" 1 90 1
"916" "BSLE_2A3" 1 90 1
"917" "BSLE_2A4" 1 90 1
"918" "BSLE_2A5" 1 90 1
"919" "BSLE_2A6" 1 90 1
"920" "BSLE_2A7" 1 90 1
"921" "BSLE_2A8" 1 90 1
"922" "BSLE_2A9" 1 90 1
"923" "BSLE_2B1" 1 90 1
"924" "BSLE_2B10" 1 90 1
"927" "BSLE_2B2" 1 90 1
"928" "BSLE_2B3" 1 90 1
"929" "BSLE_2B4" 1 90 1
"930" "BSLE_2B5" 1 90 1
"931" "BSLE_2B6" 1 90 1
"932" "BSLE_2B7" 1 90 1
"933" "BSLE_2B8" 1 90 1
"934" "BSLE_2B9" 1 90 1
"935" "BSLE_2C1" 1 90 0
"936" "BSLE_2C10" 1 90 0
"939" "BSLE_2C2" 1 90 0
"940" "BSLE_2C3" 1 90 0
"941" "BSLE_2C4" 1 90 0
"942" "BSLE_2C5" 1 90 0
"943" "BSLE_2C6" 1 90 0
"944" "BSLE_2C7" 1 90 0
"945" "BSLE_2C8" 1 90 0
"946" "BSLE_2C9" 1 90 0
"947" "BSLE_2D1" 1 90 0
"948" "BSLE_2D10" 1 90 0
"951" "BSLE_2D2" 1 90 0
"952" "BSLE_2D3" 1 90 0
"953" "BSLE_2D4" 1 90 0
"954" "BSLE_2D5" 1 90 0
"955" "BSLE_2D6" 1 90 0
"956" "BSLE_2D7" 1 90 0
"957" "BSLE_2D8" 1 90 0
"958" "BSLE_2D9" 1 90 0
"959" "BSLE_2E1" 1 90 0
"962" "BSLE_2E12" 1 90 0
"963" "BSLE_2E2" 1 90 0
"964" "BSLE_2E3" 1 90 0
"965" "BSLE_2E4" 1 90 0
"966" "BSLE_2E5" 1 90 0
"967" "BSLE_2E6" 1 90 0
"968" "BSLE_2E7" 1 90 0
"969" "BSLE_2E8" 1 90 0
"970" "BSLE_2E9" 1 90 0
"971" "BSLE_2F1" 1 90 0
"972" "BSLE_2F10" 1 90 0
"973" "BSLE_2F11" 1 90 0
"974" "BSLE_2F12" 1 90 0
"975" "BSLE_2F2" 1 90 0
"976" "BSLE_2F3" 1 90 0
"977" "BSLE_2F4" 1 90 0
"978" "BSLE_2F5" 1 90 0
"979" "BSLE_2F6" 1 90 0
"980" "BSLE_2F7" 1 90 0
"981" "BSLE_2F8" 1 90 0
"982" "BSLE_2F9" 1 90 0
"983" "BSLE_2G1" 1 90 0
"984" "BSLE_2G10" 1 90 0
"985" "BSLE_2G11" 1 90 0
"986" "BSLE_2G12" 1 90 0
"987" "BSLE_2G2" 1 90 0
"988" "BSLE_2G3" 1 90 0
"989" "BSLE_2G4" 1 90 0
"990" "BSLE_2G5" 1 90 0
"991" "BSLE_2G6" 1 90 0
"992" "BSLE_2G7" 1 90 0
"993" "BSLE_2G8" 1 90 0
"994" "BSLE_2G9" 1 90 0
"995" "BSLE_2H1" 1 90 0
"996" "BSLE_2H10" 1 90 0
"997" "BSLE_2H11" 1 90 0
"998" "BSLE_2H12" 1 90 0
"999" "BSLE_2H2" 1 90 0
"1000" "BSLE_2H3" 1 90 0
"1001" "BSLE_2H4" 1 90 0
"1002" "BSLE_2H5" 1 90 0
"1003" "BSLE_2H6" 1 90 0
"1004" "BSLE_2H7" 1 90 0
"1005" "BSLE_2H8" 1 90 0
"1006" "BSLE_2H9" 1 90 0
"1007" "BSLE_3A1" 1 90 0
"1008" "BSLE_3A10" 1 90 0
"1009" "BSLE_3A11" 1 90 0
"1010" "BSLE_3A12" 1 90 0
"1011" "BSLE_3A2" 1 90 0
"1012" "BSLE_3A3" 1 90 0
"1013" "BSLE_3A4" 1 90 0
"1014" "BSLE_3A5" 1 90 0
"1015" "BSLE_3A6" 1 90 0
"1016" "BSLE_3A7" 1 90 0
"1017" "BSLE_3A8" 1 90 0
"1018" "BSLE_3A9" 1 90 0
"1019" "BSLE_3B1" 1 90 0
"1020" "BSLE_3B10" 1 90 0
"1021" "BSLE_3B11" 1 90 0
"1022" "BSLE_3B12" 1 90 0
"1023" "BSLE_3B2" 1 90 0
"1024" "BSLE_3B3" 1 90 0
"1025" "BSLE_3B4" 1 90 0
"1026" "BSLE_3B5" 1 90 0
"1027" "BSLE_3B6" 1 90 0
"1028" "BSLE_3B7" 1 90 0
"1029" "BSLE_3B8" 1 90 0
"1030" "BSLE_3B9" 1 90 0
"1031" "BSLE_3C1" 1 90 0
"1032" "BSLE_3C10" 1 90 0
"1033" "BSLE_3C11" 1 90 0
"1034" "BSLE_3C12" 1 90 0
"1035" "BSLE_3C2" 1 90 0
"1036" "BSLE_3C3" 1 90 0
"1037" "BSLE_3C4" 1 90 0
"1038" "BSLE_3C5" 1 90 0
"1039" "BSLE_3C6" 1 90 0
"1040" "BSLE_3C7" 1 90 0
"1041" "BSLE_3C8" 1 90 0
