"id" "sex" "age" "KRN" "bKRN"
"209" "XBSA_1A1" 1 90 23 1
"210" "XBSA_6A7" 1 90 16 0
"211" "XBSA_1H2" 1 90 20 1
"212" "XBSA_1H3" 1 90 21 1
"213" "XBSA_4G1" 1 90 9 -1
"214" "XBSA_1A2" 1 90 21 1
"215" "XBSA_4A1" 1 90 7 -1
"216" "XBSA_4G2" 1 90 7 -1
"217" "XBSA_4G3" 1 90 9 -1
"218" "XBSA_4G4" 1 90 8 -1
"219" "XBSA_6A6" 1 90 17 0
"220" "XBSA_6A5" 1 90 12 0
"221" "XBSA_4H1" 1 90 9 -1
"222" "XBSA_4H2" 1 90 9 -1
"223" "XBSA_6H4" 1 90 10 0
"224" "XBSA_4H3" 1 90 9 -1
"225" "XBSA_6H3" 1 90 14 0
"226" "XBSA_4A2" 1 90 6 -1
"227" "XBSA_6H2" 1 90 15 0
"228" "XBSA_6B5" 1 90 15 0
"229" "XBSA_6H1" 1 90 14 0
"230" "XBSA_1H4" 1 90 20 1
"231" "XBSA_4H4" 1 90 8 -1
"232" "XBSA_6G4" 1 90 14 0
"233" "XBSA_4A5" 1 90 9 -1
"234" "XBSA_4A6" 1 90 9 -1
"235" "XBSA_4F1" 1 90 8 -1
"236" "XBSA_6G3" 1 90 17 0
"237" "XBSA_6G2" 1 90 13 0
"238" "XBSA_6G1" 1 90 12 0
"239" "XBSA_4A7" 1 90 9 -1
"240" "XBSA_6F4" 1 90 14 0
"241" "XBSA_6F3" 1 90 16 0
"242" "XBSA_4A8" 1 90 9 -1
"243" "XBSA_4B5" 1 90 9 -1
"244" "XBSA_6F2" 1 90 15 0
"245" "XBSA_1A5" 1 90 21 1
"246" "XBSA_6F1" 1 90 15 0
"247" "XBSA_1A6" 1 90 18.5 1
"248" "XBSA_6E4" 1 90 15 0
"249" "XBSA_4A3" 1 90 8 -1
"250" "XBSA_4A4" 1 90 8 -1
"251" "XBSA_4B6" 1 90 9 -1
"252" "XBSA_4B1" 1 90 8 -1
"253" "XBSA_1A7" 1 90 20 1
"254" "XBSA_1A8" 1 90 20 1
"255" "XBSA_1B5" 1 90 19 1
"256" "XBSA_1B6" 1 90 19 1
"257" "XBSA_6E3" 1 90 13 0
"258" "XBSA_6E2" 1 90 10 0
"259" "XBSA_4B7" 1 90 9 -1
"260" "XBSA_6E1" 1 90 11 0
"261" "XBSA_4F2" 1 90 8 -1
"262" "XBSA_4F3" 1 90 9 -1
"263" "XBSA_4F4" 1 90 8 -1
"264" "XBSA_6D4" 1 90 16 0
"265" "XBSA_1B7" 1 90 21 1
"266" "XBSA_1B8" 1 90 19 1
"267" "XBSA_1C5" 1 90 19 1
"268" "XBSA_6D3" 1 90 15 0
"269" "XBSA_6D2" 1 90 16 0
"270" "XBSA_1C6" 1 90 19 1
"271" "XBSA_6D1" 1 90 15 0
"272" "XBSA_6C4" 1 90 13 0
"273" "XBSA_6C3" 1 90 15 0
"274" "XBSA_1C7" 1 90 19 1
"275" "XBSA_6A8" 1 90 14 0
"276" "XBSA_6C2" 1 90 17 0
"277" "XBSA_1C8" 1 90 19 1
"278" "XBSA_4D7" 1 90 8 -1
"279" "XBSA_7B2" 1 90 16 0
"280" "XBSA_4D8" 1 90 8 -1
"281" "XBSA_7B1" 1 90 13 0
"282" "XBSA_1F5" 1 90 20 1
"283" "XBSA_1D6" 1 90 19 1
"284" "XBSA_6C1" 1 90 16 0
"285" "XBSA_6B4" 1 90 13 0
"286" "XBSA_6B3" 1 90 16 0
