type,Genotype,Population,Subpopulation,Internal_id,accessionID,KRN
GWAS population,B73xZ001E0004,BxRIL,Z001,B73xZ001E0004,NA,18
GWAS population,B73xZ001E0006,BxRIL,Z001,B73xZ001E0006,NA,15
GWAS population,B73xZ001E0030,BxRIL,Z001,B73xZ001E0030,NA,17
GWAS population,B73xZ001E0038,BxRIL,Z001,B73xZ001E0038,NA,17
GWAS population,B73xZ001E0078,BxRIL,Z001,B73xZ001E0078,NA,15.3
GWAS population,B73xZ001E0101,BxRIL,Z001,B73xZ001E0101,NA,16
GWAS population,B73xZ001E0112,BxRIL,Z001,B73xZ001E0112,NA,15
GWAS population,B73xZ001E0128,BxRIL,Z001,B73xZ001E0128,NA,14.7
GWAS population,B73xZ001E0170,BxRIL,Z001,B73xZ001E0170,NA,17.7
GWAS population,B73xZ002E0023,BxRIL,Z002,B73xZ002E0023,NA,17
GWAS population,B73xZ002E0116,BxRIL,Z002,B73xZ002E0116,NA,16.8
GWAS population,B73xZ002E0126,BxRIL,Z002,B73xZ002E0126,NA,16.3
GWAS population,B73xZ002E0136,BxRIL,Z002,B73xZ002E0136,NA,16.4
GWAS population,B73xZ002E0152,BxRIL,Z002,B73xZ002E0152,NA,17
GWAS population,B73xZ002E0156,BxRIL,Z002,B73xZ002E0156,NA,15.3
GWAS population,B73xZ002E0159,BxRIL,Z002,B73xZ002E0159,NA,15
GWAS population,B73xZ002E0175,BxRIL,Z002,B73xZ002E0175,NA,16.7
GWAS population,B73xZ002E0187,BxRIL,Z002,B73xZ002E0187,NA,17.3
GWAS population,B73xZ002E0193,BxRIL,Z002,B73xZ002E0193,NA,19.7
GWAS population,B73xZ002E0197,BxRIL,Z002,B73xZ002E0197,NA,16.8
GWAS population,B73xZ003E0008,BxRIL,Z003,B73xZ003E0008,NA,17
GWAS population,B73xZ003E0022,BxRIL,Z003,B73xZ003E0022,NA,17.7
GWAS population,B73xZ003E0071,BxRIL,Z003,B73xZ003E0071,NA,19
GWAS population,B73xZ004E0001,BxRIL,Z004,B73xZ004E0001,NA,19
GWAS population,B73xZ004E0005,BxRIL,Z004,B73xZ004E0005,NA,17
GWAS population,B73xZ004E0021,BxRIL,Z004,B73xZ004E0021,NA,16.7
GWAS population,B73xZ004E0027,BxRIL,Z004,B73xZ004E0027,NA,19.2
GWAS population,B73xZ004E0043,BxRIL,Z004,B73xZ004E0043,NA,17
GWAS population,B73xZ004E0046,BxRIL,Z004,B73xZ004E0046,NA,18.3
GWAS population,B73xZ004E0049,BxRIL,Z004,B73xZ004E0049,NA,18
GWAS population,B73xZ004E0054,BxRIL,Z004,B73xZ004E0054,NA,17.3
GWAS population,B73xZ004E0058,BxRIL,Z004,B73xZ004E0058,NA,17.5
GWAS population,B73xZ004E0061,BxRIL,Z004,B73xZ004E0061,NA,18.7
GWAS population,B73xZ004E0069,BxRIL,Z004,B73xZ004E0069,NA,19.6
GWAS population,B73xZ004E0071,BxRIL,Z004,B73xZ004E0071,NA,16
GWAS population,B73xZ004E0081,BxRIL,Z004,B73xZ004E0081,NA,16.7
GWAS population,B73xZ004E0083,BxRIL,Z004,B73xZ004E0083,NA,15.3
GWAS population,B73xZ004E0096,BxRIL,Z004,B73xZ004E0096,NA,17.2
GWAS population,B73xZ004E0098,BxRIL,Z004,B73xZ004E0098,NA,20
GWAS population,B73xZ004E0102,BxRIL,Z004,B73xZ004E0102,NA,15
GWAS population,B73xZ004E0111,BxRIL,Z004,B73xZ004E0111,NA,14.7
GWAS population,B73xZ004E0115,BxRIL,Z004,B73xZ004E0115,NA,19.5
GWAS population,B73xZ004E0126,BxRIL,Z004,B73xZ004E0126,NA,17.3
GWAS population,B73xZ004E0136,BxRIL,Z004,B73xZ004E0136,NA,18.7
GWAS population,B73xZ004E0141,BxRIL,Z004,B73xZ004E0141,NA,18.3
GWAS population,B73xZ004E0161,BxRIL,Z004,B73xZ004E0161,NA,13.7
GWAS population,B73xZ004E0162,BxRIL,Z004,B73xZ004E0162,NA,18.7
GWAS population,B73xZ004E0175,BxRIL,Z004,B73xZ004E0175,NA,17.5
