order,Pedigree,Genotype,Note,KRN,QS,ST
1,10NAM-11-21@,Z018E0001,Mo18W,14,2,S
2,10NAM-12-21@,Z018E0002,Mo18W,16,3,S
4,10NAM-13-21@,Z018E0003,Mo18W,18,1,S
5,10NAM-14-21@,Z018E0004,Mo18W,14,2,T
6,10NAM-14-22@,Z018E0004,Mo18W,14,4,T
7,10NAM-15-21@,Z018E0005,Mo18W,16,4,T
8,10NAM-16-21@,Z018E0006,Mo18W,12,2,T
9,10NAM-16-22@,Z018E0006,Mo18W,14,1,T
10,10NAM-17-21@,Z018E0007,Mo18W,14,1,S
11,10NAM-17-22@,Z018E0007,Mo18W,15,3,S
12,10NAM-17-23@,Z018E0007,Mo18W,16,1,S
13,10NAM-18-21@,Z018E0008,Mo18W,12,3,T
14,10NAM-18-22@,Z018E0008,Mo18W,14,1,T
15,10NAM-19-21@,Z018E0009,Mo18W,16,4,T
16,10NAM-19-22@,Z018E0009,Mo18W,16,3,T
17,10NAM-20-21@,Z018E0010,Mo18W,22,4,T
18,10NAM-20-22@,Z018E0010,Mo18W,18,3,T
19,10NAM-20-23@,Z018E0010,Mo18W,18,5,T
20,10NAM-20-24@,Z018E0010,Mo18W,22,5,T
21,10NAM-21-21@,Z018E0011,Mo18W,16,1,T
22,10NAM-22-21@,Z018E0012,Mo18W,16,4,S
23,10NAM-22-22@,Z018E0012,Mo18W,14,5,S
24,10NAM-22-23@,Z018E0012,Mo18W,14,4,S
25,10NAM-23-21@,Z018E0013,Mo18W,16,3,T
26,10NAM-23-22@,Z018E0013,Mo18W,14,3,T
27,10NAM-23-23@,Z018E0013,Mo18W,16,5,S
28,10NAM-24-21@,Z018E0014,Mo18W,14,5,S
29,10NAM-24-22@,Z018E0014,Mo18W,14,5,S
30,10NAM-24-23@,Z018E0014,Mo18W,16,5,S
31,10NAM-25-21@,Z018E0015,Mo18W,12,4,S
32,10NAM-25-22@,Z018E0015,Mo18W,14,3,S
33,10NAM-25-23@,Z018E0015,Mo18W,12,1,S
34,10NAM-26-21@,Z018E0016,Mo18W,16,2,T
35,10NAM-26-22@,Z018E0016,Mo18W,18,2,S
36,10NAM-26-23@,Z018E0016,Mo18W,18,3,T
37,10NAM-27-21@,Z018E0017,Mo18W,14,2,S
39,10NAM-28-21@,Z018E0018,Mo18W,20,3,S
40,10NAM-29-21@,Z018E0019,Mo18W,16,2,T
41,10NAM-29-22@,Z018E0019,Mo18W,18,3,T
42,10NAM-30-21@,Z018E0020,Mo18W,16,5,S
43,10NAM-30-22@,Z018E0020,Mo18W,18,4,S
44,10NAM-31-21@,Z018E0021,Mo18W,14,5,S
45,10NAM-31-22@,Z018E0021,Mo18W,16,5,T
46,10NAM-31-23@,Z018E0021,Mo18W,16,5,S
47,10NAM-31-24@,Z018E0021,Mo18W,14,5,S
49,10NAM-34-21@,Z018E0024,Mo18W,16,1,S
50,10NAM-34-22@,Z018E0024,Mo18W,14,3,T
51,10NAM-36-21@,Z018E0026,Mo18W,20,1,S
53,10NAM-37-21@,Z018E0027,Mo18W,18,3,T
54,10NAM-37-22@,Z018E0027,Mo18W,18,4,S
55,10NAM-38-21@,Z018E0028,Mo18W,16,3,T
56,10NAM-44-21@,Z018E0034,Mo18W,14,5,S
58,10NAM-46-21@,Z018E0036,Mo18W,14,4,T
59,10NAM-46-22@,Z018E0036,Mo18W,16,4,T
60,10NAM-47-21@,Z018E0038,Mo18W,22,3,T
61,10NAM-49-21@,Z018E0040,Mo18W,10,1,S
62,10NAM-50-21@,Z018E0041,Mo18W,18,2,S
64,10NAM-51-21@,Z018E0042,Mo18W,14,4,T
65,10NAM-53-21@,Z018E0044,Mo18W,16,4,T
66,10NAM-54-21@,Z018E0045,Mo18W,14,4,S
67,10NAM-54-22@,Z018E0045,Mo18W,14,3,T
68,10NAM-55-21@,Z018E0046,Mo18W,18,3,T
69,10NAM-55-22@,Z018E0046,Mo18W,14,1,S
70,10NAM-55-23@,Z018E0046,Mo18W,22,5,T
72,10NAM-56-21@,Z018E0047,Mo18W,20,3,T
76,10NAM-57-21@,Z018E0048,Mo18W,14,4,S
77,10NAM-58-21@,Z018E0049,Mo18W,14,5,S
78,10NAM-58-22@,Z018E0049,Mo18W,14,5,S
81,10NAM-59-21@,Z018E0050,Mo18W,16,4,S
82,10NAM-59-22@,Z018E0050,Mo18W,18,3,T
83,10NAM-59-23@,Z018E0050,Mo18W,16,4,S
85,10NAM-60-21@,Z018E0051,Mo18W,16,5,S
86,10NAM-61-21@,Z018E0052,Mo18W,16,3,T
87,10NAM-61-22@,Z018E0052,Mo18W,16,3,T
88,10NAM-61-23@,Z018E0052,Mo18W,18,3,T
89,10NAM-61-24@,Z018E0052,Mo18W,14,2,T
90,10NAM-62-21@,Z018E0053,Mo18W,16,3,T
91,10NAM-62-22@,Z018E0053,Mo18W,14,4,S
92,10NAM-62-23@,Z018E0053,Mo18W,16,4,S
93,10NAM-62-24@,Z018E0053,Mo18W,16,3,T
94,10NAM-62-25@,Z018E0053,Mo18W,16,4,S
95,10NAM-63-21@,Z018E0054,Mo18W,18,5,S
96,10NAM-63-22@,Z018E0054,Mo18W,16,5,S
97,10NAM-63-23@,Z018E0054,Mo18W,18,4,T
98,10NAM-63-24@,Z018E0054,Mo18W,18,3,S
99,10NAM-63-25@,Z018E0054,Mo18W,18,3,T
100,10NAM-64-21@,Z018E0055,Mo18W,18,3,T
101,10NAM-64-22@,Z018E0055,Mo18W,18,2,T
102,10NAM-64-23@,Z018E0055,Mo18W,,,
104,10NAM-65-21@,Z018E0057,Mo18W,14,3,T
105,10NAM-65-22@,Z018E0057,Mo18W,16,4,T
106,10NAM-66-21@,Z018E0058,Mo18W,12,3,S
107,10NAM-66-22@,Z018E0058,Mo18W,16,3,S
108,10NAM-66-23@,Z018E0058,Mo18W,18,5,S
111,10NAM-67-21@,Z018E0059,Mo18W,14,3,T
112,10NAM-67-22@,Z018E0059,Mo18W,16,3,T
113,10NAM-67-23@,Z018E0059,Mo18W,16,3,T
114,10NAM-67-24@,Z018E0059,Mo18W,16,4,T
115,10NAM-68-21@,Z018E0060,Mo18W,16,4,S
116,10NAM-68-22@,Z018E0060,Mo18W,16,1,S
