Pedigree,Genotype,Note,KRN,QS,TS,date
10g-1503-21@,Z015E0230,M162W,16,3,T,3.24.2011
10g-1504-21@,Z002E0217,CML103,16,5,S,3.24.2011
10g-1504-22@,Z002E0217,CML103,16,5,S,3.24.2011
10g-1505-21@,Z003E0212,CML228,14,2,T,3.24.2011
10g-1505-22@,Z003E0212,CML228,14,2,T,3.24.2011
10g-1505-23@,Z003E0212,CML228,16,3,T,3.24.2011
10g-1505-24@,Z003E0212,CML228,14,3,T,3.24.2011
10g-1506-21@,Z025E0218,Tx303,14,3,T,3.24.2011
10g-1506-22@,Z025E0218,Tx303,,,,3.24.2011
10g-1506-23@,Z025E0218,Tx303,,,,3.24.2011
10g-1507-21@,Z025E0238,Tx303,18,3,S,3.24.2011
10g-1507-22@,Z025E0238,Tx303,20,4,T,3.24.2011
10g-1507-23@,Z025E0238,Tx303,20,4,T,3.24.2011
10g-1507-24@,Z025E0238,Tx303,,,,3.24.2011
10g-1508-21@,Z009E0214,CML69,16,4,S,3.24.2011
10g-1508-22@,Z009E0214,CML69,12,5,S,3.24.2011
10g-1508-23@,Z009E0214,CML69,,,,3.24.2011
10g-1509-21@,Z009E0219,CML69,12,5,S,3.24.2011
10g-1509-22@,Z009E0219,CML69,12,5,S,3.24.2011
10g-1509-23@,Z009E0219,CML69,12,5,S,3.24.2011
10g-1509-24@,Z009E0219,CML69,,,,3.24.2011
10g-1510-21@,Z021E0205,NC358,23,4,S,3.24.2011
10g-1510-22@,Z021E0205,NC358,18,1,S,3.24.2011
10g-1510-23@,Z021E0205,NC358,18,5,S,3.24.2011
10g-1511-21@,Z021E0216,NC358,16,2,S,3.24.2011
10g-1511-22@,Z021E0216,NC358,14,2,S,3.24.2011
10g-1511-23@,Z021E0216,NC358,16,2,S,3.24.2011
10g-1512-21@,Z016E0220,M37W,12,4,S,3.24.2011
10g-1512-22@,Z016E0220,M37W,14,3,S,3.24.2011
10g-1512-23@,Z016E0220,M37W,14,3,S,3.24.2011
10g-1513-21@,Z002E0197,CML103,18,5,S,3.24.2011
10g-1513-22@,Z002E0197,CML103,16,5,S,3.24.2011
10g-1513-23@,Z002E0197,CML103,14,5,S,3.24.2011
10g-1513-24@,Z002E0197,CML103,16,5,S,3.24.2011
10g-1513-25@,Z002E0197,CML103,,,,3.24.2011
10g-1514-21@,Z003E0197,CML228,20,3,T,3.24.2011
10g-1514-22@,Z003E0197,CML228,16,4,S,3.24.2011
10g-1514-23@,Z003E0197,CML228,18,3,S,3.24.2011
10g-1514-24@,Z003E0197,CML228,18,2,S,3.24.2011
10g-1514-25@,Z003E0197,CML228,20,3,T,3.24.2011
10g-1516-21@,Z005E0188,CML277,14,4,S,3.24.2011
10g-1516-22@,Z005E0188,CML277,16,3,S,3.24.2011
10g-1517-21@,Z006E0147,CML322,12,5,S,3.24.2011
10g-1517-22@,Z006E0147,CML322,12,4,S,3.24.2011
10g-1517-23@,Z006E0147,CML322,12,5,S,3.24.2011
10g-1517-24@,Z006E0147,CML322,16,4,S,3.24.2011
10g-1517-25@,Z006E0147,CML322,12,5,S,3.24.2011
10g-1518-21@,Z006E0189,CML322,17,3,T,3.24.2011
10g-1518-22@,Z006E0189,CML322,18,3,T,3.24.2011
10g-1518-23@,Z006E0189,CML322,18,3,T,3.24.2011
10g-1518-24@,Z006E0189,CML322,,,,3.24.2011
10g-1519-21@,Z006E0193,CML322,16,5,S,3.24.2011
10g-1519-22@,Z006E0193,CML322,12,4,S,3.24.2011
10g-1519-23@,Z006E0193,CML322,14,5,S,3.24.2011
10g-1519-24@,Z006E0193,CML322,16,5,S,3.24.2011
10g-1520-21@,Z009E0139,CML69,14,4,S,3.24.2011
10g-1520-22@,Z009E0139,CML69,14,4,S,3.24.2011
10g-1520-23@,Z009E0139,CML69,16,4,S,3.24.2011
10g-1520-24@,Z009E0139,CML69,14,3,S,3.24.2011
10g-1521-21@,Z010E0141,Hp301,16,4,S,3.24.2011
10g-1521-22@,Z010E0141,Hp301,14,4,S,3.24.2011
10g-1521-23@,Z010E0141,Hp301,14,3,S,3.24.2011
10g-1521-24@,Z010E0141,Hp301,,,,3.24.2011
10g-1521-25@,Z010E0141,Hp301,,,,3.24.2011
10g-1522-21@,Z010E0148,Hp301,12,2,S,3.24.2011
10g-1522-22@,Z010E0148,Hp301,14,1,S,3.24.2011
10g-1522-23@,Z010E0148,Hp301,14,1,S,3.24.2011
10g-1522-24@,Z010E0148,Hp301,,,,3.24.2011
10g-1523-21@,Z010E0154,Hp301,,,,3.24.2011
10g-1523-22@,Z010E0154,Hp301,,,,3.24.2011
10g-1524-21@,Z011E0167,Il14H,14,1,S,3.24.2011
10g-1524-22@,Z011E0167,Il14H,,,,3.24.2011
10g-1524-23@,Z011E0167,Il14H,,,,3.24.2011
10g-1524-24@,Z011E0167,Il14H,,,,3.24.2011
10g-1526-21@,Z011E0169,Il14H,12,5,S,3.24.2011
10g-1526-22@,Z011E0169,Il14H,14,5,S,3.24.2011
10g-1526-23@,Z011E0169,Il14H,14,3,T,3.24.2011
10g-1526-24@,Z011E0169,Il14H,,,,3.24.2011
10g-1526-25@,Z011E0169,Il14H,,,,3.24.2011
10g-1527-21@,Z011E0176,Il14H,16,5,S,3.24.2011
10g-1527-22@,Z011E0176,Il14H,14,3,T,3.24.2011
10g-1527-23@,Z011E0176,Il14H,15,3,T,3.24.2011
10g-1527-24@,Z011E0176,Il14H,15,3,T,3.24.2011
10g-1528-21@,Z011E0195,Il14H,14,1,T,3.24.2011
10g-1528-22@,Z011E0195,Il14H,16,1,S,3.24.2011
10g-1529-21@,Z011E0198,Il14H,14,2,S,3.24.2011
10g-1529-22@,Z011E0198,Il14H,,,,3.24.2011
10g-1530-21@,Z011E0199,Il14H,16,2,S,3.24.2011
10g-1530-22@,Z011E0199,Il14H,14,1,S,3.24.2011
10g-1531-21@,Z012E0159,Ki11,18,5,S,3.24.2011
10g-1531-22@,Z012E0159,Ki11,16,5,S,3.24.2011
10g-1531-23@,Z012E0159,Ki11,14,4,S,3.24.2011
10g-1531-24@,Z012E0159,Ki11,16,5,S,3.24.2011
10g-1531-25@,Z012E0159,Ki11,16,5,S,3.24.2011
10g-1532-21@,Z014E0167,Ky21,16,4,T,3.24.2011
10g-1532-22@,Z014E0167,Ky21,18,3,T,3.24.2011
10g-1532-23@,Z014E0167,Ky21,12,2,T,3.24.2011
10g-1532-24@,Z014E0167,Ky21,14,3,S,3.24.2011
10g-1533-21@,Z015E0113,M162W,14,5,S,3.24.2011
10g-1533-22@,Z015E0113,M162W,14,5,S,3.24.2011
10g-1533-23@,Z015E0113,M162W,,,,3.24.2011
10g-1534-21@,Z015E0232,M162W,16,3,S,3.24.2011
10g-1534-22@,Z015E0232,M162W,16,5,S,3.24.2011
10g-1534-23@,Z015E0232,M162W,16,4,T,3.24.2011
10g-1534-24@,Z015E0232,M162W,14,4,S,3.24.2011
10g-1535-21@,Z015E0236,M162W,14,5,S,3.24.2011
10g-1535-22@,Z015E0236,M162W,12,4,S,3.24.2011
10g-1535-23@,Z015E0236,M162W,16,2,S,3.24.2011
10g-1535-24@,Z015E0236,M162W,,,,3.24.2011
10g-1536-21@,Z015E0242,M162W,14,5,S,3.24.2011
10g-1537-21@,Z015E0243,M162W,16,5,S,3.24.2011
10g-1537-22@,Z015E0243,M162W,16,3,S,3.24.2011
10g-1537-23@,Z015E0243,M162W,18,2,S,3.24.2011
10g-1538-21@,Z016E0251,M37W,18,5,S,3.24.2011
10g-1538-22@,Z016E0251,M37W,16,5,S,3.24.2011
10g-1538-23@,Z016E0251,M37W,16,4,S,3.24.2011
10g-1538-24@,Z016E0251,M37W,,,,3.24.2011
10g-1539-21@,Z016E0254,M37W,14,5,S,3.24.2011
