Geno_Code,MO Number,leaf_length,leaf_width,up_leaf_angle
Z017E0001,MO001,760.4271,88.9452,76.1874
Z017E0095,MO003,706.8924,88.2588,58.9209
Z017E0002,MO005,713.4755,87.1857,67.2772
Z017E0003,MO007,659.595,87.1376,71.8218
Z017E0004,MO008,733.4752,85.1973,60.4002
Z017E0005,MO010,663.5445,74.7562,72.26
Z017E0028,MO011,666.0944,79.6474,75.9779
Z017E0006,MO012,679.8307,91.1245,44.6081
Z017E0034,MO013,706.1209,73.4339,59.2914
Z017E0007,MO014,631.4779,82.2196,66.0889
Z017E0008,MO015,644.0512,86.5044,67.6436
Z017E0009,MO016,599.3555,82.8741,75.6996
Z017E0010,MO017,650.14,73.9382,53.7371
Z017E0096,MO019,688.4016,85.9968,77.276
Z017E0011,MO021,709.9077,81.2557,67.9561
Z017E0012,MO022,743.0456,89.6798,69.3532
Z017E0013,MO023,610.1134,71.6563,66.9496
Z017E0014,MO024,705.7752,79.4659,55.8739
Z017E0015,MO025,672.5075,77.7689,71.7384
Z017E0016,MO027,650.9764,75.3882,62.1312
Z017E0017,MO028,626.5534,88.8944,63.5349
Z017E0018,MO029,691.9849,93.8418,60.938
Z017E0019,MO030,730.8673,92.2178,66.5519
Z017E0020,MO031,754.9729,83.8403,70.8695
Z017E0021,MO032,742.5652,76.2195,67.0574
Z017E0022,MO033,663.6096,85.9551,65.4876
Z017E0023,MO034,706.9713,79.6032,64.8926
Z017E0024,MO035,663.1754,77.5713,49.9336
Z017E0097,MO038,695.0636,83.3487,57.1539
Z017E0025,MO039,689.143,89.3843,73.5703
Z017E0026,MO040,684.8915,88.1675,66.5477
Z017E0098,MO041,667.4048,96.9806,69.2808
Z017E0099,MO042,625.4295,81.3209,68.8845
Z017E0027,MO043,680.2919,84.6389,71.6789
Z017E0029,MO045,598.0214,82.6699,56.8038
Z017E0030,MO046,664.554,84.7944,64.004
Z017E0100,MO047,661.4731,75.253,72.2481
Z017E0031,MO048,720.6243,113.1693,69.1173
Z017E0032,MO051,713.722,78.8098,71.9514
Z017E0033,MO052,622.6624,84.6923,67.1913
Z017E0035,MO055,691.9575,86.5677,67.5605
Z017E0101,MO056,665.0374,81.6649,70.4173
Z017E0036,MO057,720.2882,101.6529,66.1511
Z017E0037,MO058,681.2324,89.5925,72.4862
Z017E0038,MO060,711.4073,96.1947,60.9548
Z017E0039,MO061,723.1967,76.3522,80.1083
Z017E0040,MO062,667.346,69.8622,71.9085
Z017E0041,MO063,629.4227,75.8086,67.0773
Z017E0042,MO066,630.6909,93.7039,65.8154
Z017E0043,MO067,703.1481,94.6292,74.3982
Z017E0102,MO068,749.3546,87.3393,72.6205
Z017E0044,MO074,732.7565,80.9482,66.9392
Z017E0045,MO075,751.8942,90.7875,67.6838
Z017E0046,MO076,753.7211,86.9978,70.6328
Z017E0047,MO077,698.1752,86.3091,74.7953
Z017E0048,MO079,727.6894,74.4189,45.3027
Z017E0103,MO082,712.5468,88.8986,71.372
Z017E0104,MO083,665.3407,88.0637,71.038
Z017E0105,MO085,684.1021,86.4263,63.908
Z017E0106,MO087,656.8645,79.8097,60.4128
Z017E0107,MO088,742.7026,91.8208,71.8624
Z017E0109,MO092,547.299,69.3364,72.8531
Z017E0110,MO093,788.932,77.4048,67.0682
Z017E0111,MO095,753.3955,81.7937,67.2729
Z017E0112,MO098,707.2163,79.0046,63.5872
Z017E0113,MO099,718.0902,100.0503,73.5206
Z017E0114,MO101,704.0649,82.5164,72.5921
Z017E0115,MO102,636.216,82.566,65.9205
Z017E0116,MO105,628.5684,84.3268,57.7044
Z017E0117,MO106,780.4835,85.8952,75.6482
Z017E0118,MO114,698.5026,81.4829,74.9114
Z017E0119,MO116,711.6578,90.757,63.3863
Z017E0120,MO118,689.2104,93.6267,69.0705
Z017E0122,MO123,658.8212,77.8381,61.3103
Z017E0123,MO125,643.2975,83.4525,60.084
Z017E0124,MO127,722.0923,83.8283,69.4494
Z017E0126,MO141,663.3775,82.5575,78.4559
Z017E0127,MO143,671.4489,93.5398,75.1789
Z017E0128,MO145,694.8728,87.3875,67.9464
Z017E0129,MO151,641.1158,79.7604,78.3363
Z017E0130,MO154,670.8761,72.9744,53.144
Z017E0131,MO159,733.701,89.9747,73.1278
Z017E0132,MO161,741.0098,99.4565,67.1701
Z017E0133,MO162,692.38,92.5841,68.3544
Z017E0134,MO163,695.994,84.2988,70.3906
Z017E0135,MO164,623.4828,96.0468,74.5576
Z017E0137,MO169,666.189,77.9311,71.7673
Z017E0136,MO172,694.9424,94.2884,56.5827
Z017E0138,MO175,671.024,77.4589,62.0313
Z017E0139,MO176,665.8587,83.6655,75.3262
Z017E0141,MO181,652.357,79.8379,60.5256
Z017E0142,MO185,716.2213,88.6835,69.8754
Z017E0143,MO186,736.0576,93.1218,65.4573
Z017E0144,MO188,702.1021,87.6935,68.7996
Z017E0145,MO190,682.3707,82.5447,74.1225
Z017E0146,MO192,674.1934,83.5746,64.2397
Z017E0147,MO194,645.6615,98.9344,64.5813
Z017E0148,MO202,629.6201,74.4385,59.8
Z017E0150,MO210,658.4666,77.2629,54.3994
Z017E0152,MO215,700.9683,87.8115,69.2777
Z017E0153,MO218,715.1894,66.8985,62.0348
Z017E0154,MO219,745.4847,87.8145,66.262
Z017E0155,MO225,672.5563,80.9847,56.7027
Z017E0156,MO228,618.3995,76.1925,71.5192
Z017E0157,MO229,592.1611,80.0188,61.0029
Z017E0158,MO237,698.8261,89.216,72.1859
Z017E0159,MO246,698.5377,79.7485,56.5172
Z017E0160,MO248,705.6303,85.2475,76.5082
Z017E0161,MO250,753.8131,89.5678,69.9163
Z017E0162,MO253,648.3357,88.6206,69.791
Z017E0163,MO256,761.773,86.4194,72.1018
Z017E0049,MO262,738.8208,84.2715,70.1454
Z017E0165,MO263,683.3389,74.7126,72.7493
Z017E0050,MO264,609.0102,86.1662,60.3746
Z017E0051,MO265,656.106,82.0123,70.5096
Z017E0052,MO266,716.7056,86.5251,65.385
Z017E0053,MO267,707.3768,77.3631,67.1218
Z017E0166,MO268,618.2334,75.493,61.3523
Z017E0054,MO269,695.4924,71.7855,58.6349
Z017E0167,MO270,681.1782,89.1569,63.9063
Z017E0168,MO271,726.2917,96.0085,75.6911
Z017E0055,MO272,691.3047,82.7751,70.6768
Z017E0169,MO274,697.8062,88.5555,71.4963
Z017E0056,MO275,706.081,106.9089,60.6089
Z017E0057,MO276,673.8396,83.7257,62.1547
Z017E0164,MO277,653.0821,73.6384,71.2339
Z017E0170,MO278,647.5879,79.5736,53.0533
Z017E0171,MO279,779.3974,89.5236,64.968
Z017E0058,MO281,729.2714,87.5793,77.182
Z017E0059,MO284,752.2338,90.3019,53.1308
Z017E0172,MO286,684.9241,83.5251,64.7141
Z017E0060,MO287,764.7241,83.0684,67.3849
Z017E0061,MO288,677.9568,86.4689,55.5338
Z017E0173,MO292,609.9912,73.6109,64.166
Z017E0062,MO296,681.0309,87.3234,59.177
Z017E0063,MO297,679.5536,78.7765,74.1605
Z017E0064,MO298,646.6399,83.2394,60.9865
Z017E0174,MO301,721.5642,92.7397,63.7742
Z017E0175,MO302,664.8639,90.4329,70.3701
Z017E0176,MO303,686.7557,89.8745,65.7383
Z017E0177,MO304,690.685,82.6965,59.3217
Z017E0178,MO305,701.2477,77.2657,75.3662
Z017E0179,MO307,588.1447,78.0158,60.083
Z017E0180,MO308,696.3674,89.1294,71.8463
Z017E0065,MO309,619.0041,73.4738,72.6102
Z017E0066,MO310,604.6539,89.7508,72.2853
Z017E0067,MO311,641.3886,73.1186,70.1548
Z017E0181,MO313,621.3365,75.4891,70.9266
Z017E0184,MO314,729.4988,96.1229,65.4454
Z017E0068,MO315,712.3681,98.3427,74.0419
Z017E0069,MO317,654.1232,77.7227,69.497
Z017E0182,MO318,656.3083,88.93,74.4779
Z017E0183,MO319,643.3149,88.1973,68.9743
Z017E0070,MO321,702.5794,96.6219,66.0176
Z017E0071,MO322,660.3047,74.111,63.9613
Z017E0072,MO323,737.7009,79.4718,73.9079
Z017E0073,MO325,725.4361,94.8087,68.4444
Z017E0074,MO326,714.0265,93.7409,70.4432
Z017E0075,MO328,690.5011,81.7089,74.0205
Z017E0185,MO329,656.4419,91.2541,62.683
Z017E0186,MO335,703.4505,84.8429,63.0997
Z017E0187,MO336,685.5571,79.0863,60.6674
Z017E0076,MO337,757.1032,87.2176,74.7126
Z017E0188,MO338,686.5391,95.1647,63.4718
Z017E0189,MO340,686.3836,79.7958,56.8558
Z017E0077,MO341,618.5131,90.2943,68.2473
Z017E0190,MO342,694.7205,79.4141,75.3783
Z017E0078,MO344,693.0538,87.3404,75.5139
Z017E0079,MO345,704.238,87.2229,68.1566
Z017E0080,MO346,713.061,76.767,66.7515
Z017E0191,MO347,600.612,102.6872,72.4671
Z017E0192,MO351,632.7638,86.3233,73.7271
Z017E0081,MO352,637.2758,86.9109,66.218
Z017E0082,MO354,705.0857,82.5554,
