"Genotype"	"Estimate"	"StdErr"
"1"	"B73"	17.1534	0.08061
"2"	"B73xM0001"	17.463	0.423
"3"	"B73xM0002"	15.9049	0.9768
"4"	"B73xM0004"	15.7855	0.4406
"5"	"B73xM0005"	13.9758	0.424
"6"	"B73xM0006"	16.9334	0.458
"7"	"B73xM0007"	15.3992	0.409
"8"	"B73xM0008"	16.2448	0.4393
"9"	"B73xM0010"	17.2854	0.3965
"10"	"B73xM0011"	16.2761	0.4394
"11"	"B73xM0012"	15.4226	0.4715
"12"	"B73xM0013"	16.8877	0.4239
"13"	"B73xM0014"	16.0012	0.4091
"14"	"B73xM0015"	16.7054	0.5538
"15"	"B73xM0016"	17.5389	0.5057
"16"	"B73xM0017"	17.3747	0.4091
"17"	"B73xM0021"	16.4917	0.4239
"18"	"B73xM0022"	17.3587	0.2894
"19"	"B73xM0023"	15.7028	0.3965
"20"	"B73xM0024"	15.2159	0.7109
"21"	"B73xM0025"	16.9306	0.5791
"22"	"B73xM0026"	15.8354	0.4394
"23"	"B73xM0027"	15.1728	0.4929
"24"	"B73xM0028"	15.9628	0.6977
"25"	"B73xM0029"	16.4532	0.4091
"26"	"B73xM0030"	17.1311	0.458
"27"	"B73xM0031"	15.3025	0.3966
"28"	"B73xM0032"	14.4228	0.4609
"29"	"B73xM0033"	15.3438	0.54
"30"	"B73xM0034"	18.178	0.409
"31"	"B73xM0035"	14.8047	0.3852
"32"	"B73xM0039"	17.3061	0.4419
"33"	"B73xM0043"	15.5254	0.409
"34"	"B73xM0044"	15.7789	0.5488
"35"	"B73xM0045"	17.2086	0.3966
"36"	"B73xM0046"	16.4189	0.3965
"37"	"B73xM0047"	16.032	0.4712
"38"	"B73xM0048"	14.7765	0.4091
"39"	"B73xM0051"	15.9868	0.6279
"40"	"B73xM0052"	16.5933	0.481
"41"	"B73xM0053"	16.89	0.5426
"42"	"B73xM0054"	17.9552	0.4581
"43"	"B73xM0055"	17.5596	0.4239
"44"	"B73xM0056"	17.4709	0.3851
"45"	"B73xM0057"	16.2581	0.4927
"46"	"B73xM0058"	19.6622	0.3965
"47"	"B73xM0059"	16.7667	0.446
"48"	"B73xM0060"	16.5075	0.409
"49"	"B73xM0061"	16.0219	0.4609
"50"	"B73xM0064"	15.7784	0.3964
"51"	"B73xM0065"	18.1512	0.3965
"52"	"B73xM0067"	16.2886	0.3852
"53"	"B73xM0069"	15.7779	0.4393
"54"	"B73xM0070"	14.8029	0.4091
"55"	"B73xM0071"	16.9949	0.4847
"56"	"B73xM0075"	15.5646	0.3964
"57"	"B73xM0076"	17.4676	0.4228
"58"	"B73xM0077"	16.917	0.4391
"59"	"B73xM0078"	16.8252	0.4263
"60"	"B73xM0079"	14.9727	0.4462
"61"	"B73xM0080"	15.7142	0.409
"62"	"B73xM0081"	15.906	0.409
"63"	"B73xM0083"	15.019	0.4609
"64"	"B73xM0084"	15.7056	0.3966
"65"	"B73xM0085"	16.7402	0.4394
"66"	"B73xM0086"	16.9091	0.3851
"67"	"B73xM0088"	16.3236	0.4239
"68"	"B73xM0090"	17.576	0.3965
"69"	"B73xM0091"	16.0602	0.4091
"70"	"B73xM0092"	15.8535	0.3964
"71"	"B73xM0093"	15.5789	0.458
"72"	"B73xM0095"	17.0787	0.4394
"73"	"B73xM0096"	16.209	0.409
"74"	"B73xM0097"	15.1427	0.481
"75"	"B73xM0098"	16.6328	0.4596
"76"	"B73xM0099"	16.6067	0.4091
"77"	"B73xM0100"	14.2774	0.385
"78"	"B73xM0101"	16.0261	0.3964
