<Trait>	20KernelWeight	CobColor	CobDiameter	CobDiameter	CobWeight	CobWeight	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	EarDiameter	EarDiameter	EarLength	EarLength	EarRankNumber	EarRankNumber	EarRowNumber	EarRowNumber	EarWeight	EarWeight	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	HerbicideSensitivity	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafSheathLength	LeafWidth-BorderPlant	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	NorthernLeafBlight-IncubationPeriod	NorthernLeafBlight(Percentage)	NorthernLeafBlight(Percentage)	NorthernLeafBlight	NumberofLeaves	NumberofTilleringPlants	NumberofTilleringPlants	Phylotaxy	RowQuality	RowQuality	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SeedSetLength	Spikelets-MainSpike	Spikelets-MainSpike	Spikelets-PrimaryBranch	Spikelets-PrimaryBranch	StandCount	StandCount	StandCount	StandCount	StandCount	StandCount	TasselBranchLength	TasselBranchLength	TasselBranchLength	TasselBranchLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselSterility	TilleringIndex-BorderPlant	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	TotalKernelVolume	TotalKernelVolume	UpperLeafAngle-BorderPlant	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle
<Header name=env>	06CL1	065	065	06CL1	065	06CL1	065	06A	06CL1	06PR	07A	07CL1	07U	08A	26M3	27M3	065	06A	06CL1	06PR	07A	07CL1	07U	08A	26M3	27M3	065	06CL1	065	06CL1	065	06CL1	065	06CL1	065	06CL1	065	06A	06CL1	06FL1	07K	08A	26M3	08A	065	06A	06CL1	06FL1	06PR	07A	07CL1	07U	26M3	07FL1	07A	065	06A	06CL1	06FL1	06PR	07A	07CL1	07U	26M3	065	06A	06CL1	06FL1	06PR	07A	07U	26M3	065	06A	06CL1	06PR	07A	07CL1	26M3	07K	06A	07K	06A	08A	07A	08A	07A	06A	07FL1	065	06A	06PR	07A	26M3	065	065	07U	065	07U	06CL1	06PR	07A	07CL1	08A	27M3	065	06A	06PR	07A	065	06A	06CL1	06FL1	06PR	07A	07U	26M3	065	06A	06CL1	06FL1	06PR	07A	07U	26M3	07A	07A	06A	06CL1	07CL1	08A	065	06CL1	07A	065	06A	06CL1	06FL1	06PR	07A	07CL1	07U	26M3
33_16	5.0325	0	-999	28.605	15	21.9625	86	104	74	58	94	73	78	88	74	-999	84	103	73	56	89	72	78	87	72	-999	34	44.23	149	162.5875	27	28	16	17.75	78	111.9275	13	3	10.5	6	-999	1	2	-999	625	696	703	585	656	790	622	682	715	138	-999	101	81	96.25	87	82	86	83	96	108	241	258	221	218	204	196	278	212	-999	85	77.5	-999	-999	-999	-999	-999	-999	-999	2	3	0	-999	-999	4	3	-999	-999	-999	1	0	132	27	20	14	11	7	8	3	4	-999	-999	-999	-999	-999	-999	363	309	365.5	293	292	311	400	369	22	7	19.5	11	15	19	20	16	-999	0	0	0	1	-999	90	131.25	-999	65	60	70	60	70	-999	65	-999	-999
38_11	-999	-999	-999	25.115	-999	10.515	86	-999	78.5	59	86	75	82	90	74	-999	84	-999	77	58	84	74	86	88	71	-999	-999	-999	-999	158.55	-999	-999	-999	-999	-999	-999	12	6	12	6	-999	10	3	-999	835	867	904.5	-999	865	823	905	986	874	139	-999	92	89	77.5	-999	83	75	90	95	118	221	260	242	-999	233	207	225	252	-999	50	57.5	-999	45	-999	-999	-999	-999	-999	3	5.666666667	0	-999	-999	3	3	-999	3	2	2	-999	-999	35	41	17	20	8	8	10	7	-999	-999	-999	226	226	240	338	368	363.5	-999	342.5	336	357	381	10	12	10.5	-999	10	11	9	16	-999	0	0	0	0	-999	-999	-999	80	67.5	60	67.5	55	60	60	55	-999	-999
4226	4.385	0	27	25.895	14	20.205	75	-999	67	51	76	64	69	81	66	-999	75	95	66.5	50	73	65	64	78	65	-999	40	39.6575	121	151.39	16	28.5	15	14	62	89.7475	10	1	11	5	-999	8	3	-999	737	684	695.5	-999	757	739	834	792	764	145	94	92	80	90.75	-999	90	97	100	101	101	230	278	221	-999	-999	206	198	232	-999	40	47.5	-999	45	-999	-999	-999	-999	-999	3	4	0	-999	-999	3	3	-999	0	-999	4	-999	118	31	27	18	20	3.5	8	11	6	-999	-999	-999	200	-999	148	317	345	312.5	-999	-999	329	322	347	13	9	-999	-999	23	31	26	26	-999	0	0	0	0	-999	70	103.75	40	40	45	20	55	-999	20	35	20	55
4722	-999	0	28	22.775	72	15.635	86	92	79	55	90	74	82	89	79	-999	84	89	77	54	85	72	80	88	77	-999	32	-999	137	140.765	20	-999	11	-999	34	-999	13	6	10.5	5	-999	2	7	-999	726	787	747.5	727	776	772	800	741	818	147	89	102	93	92.25	84	88	94	101	104	81	184	233	247.5	193	195	227	245	216	-999	57.5	67.5	-999	60	-999	-999	-999	-999	-999	3	4	0	-999	-999	1	3	-999	4	-999	3	8	133	21	21	17	15	7.5	8	12	6	-999	-999	-999	266	-999	204	319	364	365	316	353	304	354	380	12	12	10.5	7	13	5	12	13	-999	0	-999	0.5	1	-999	30	-999	65	70	60	67.5	55	65	60	65	-999	70
A188	-999	0	25	20.955	12	7.66	76	73	61.5	45	70	60	63	-999	66	-999	76	73	61	45	70	60	61	-999	66	-999	43	-999	132	102.4	13	-999	13	-999	-999	-999	19	5	10	6	-999	6	7	-999	482	633	591.75	501	653	668	666	606	724	114	98.5	61	76	74.5	48	71	95	74	71	87	229	245	188	185	217	249	269	248	-999	60	60	-999	65	-999	-999	-999	-999	-999	2	5	0	-999	132.5	2	3	2	0	1	1	-999	107	13	12	15	19	6	7	11	7	-999	-999	164	188	131	178	332	346	282	254	293.5	349	369	446	18.5	15	10	14	17.5	20	11	15	-999	0	-999	0	0	-999	60	-999	40	45	45	42.5	5	-999	47.5	55	40	55
A214N	-999	-999	-999	19.61	-999	12.6625	95	108	82	56	91	80	82	100	86	-999	94	108	84.5	57	91	81	82	100	88	-999	-999	-999	-999	160.0925	-999	-999	-999	-999	-999	-999	11	4	10	4	-999	7	3	-999	733	767	742.25	531	692	687	657	752	767	133	83	76	69	83	73	64	92	95	101	66	233.5	218	257.5	184	223	182	224	226	-999	70	77.5	-999	50	-999	-999	-999	-999	-999	3	5	1	-999	-999	1	3	1	1	-999	2	1	-999	21	25	24	23	7	5	14	6	-999	-999	232	216	-999	198	307	297	313.5	200	283	254	304	312	7.5	10	6	2	5	7	9	9	-999	1	-999	0	1	-999	-999	-999	80	80	90	-999	60	50	-999	75	-999	-999
A239	-999	-999	-999	22.535	-999	12.01	77	93	68	50	76	64	72	78	67	-999	78	90	66.5	50	76	65	71	78	66	-999	-999	34.345	-999	126.1875	-999	-999	-999	11	-999	-999	12	8	9.5	2	-999	1	5	-999	603	660	603	-999	722	634	614	758	820	146	-999	75	70	80.25	-999	90	71	78	71	90	249	283	219	-999	-999	226	242	287	-999	70	55	-999	45	-999	-999	-999	-999	-999	4	5	0	-999	-999	3	2	-999	0	-999	1	-999	-999	24	20	15	11	7.5	6	8	7	-999	-999	-999	230	-999	166	310	350	310.5	-999	-999	278	330	431	4	4	6	-999	7	4	4	8	-999	0	-999	0	0	-999	-999	-999	65	60	60	55	55	60	55	55	60	-999
A272	-999	-999	-999	19.235	-999	6.39	78	-999	71.5	54	79	69	77	81	70	-999	78	-999	69.5	52	77	68	71	83	70	-999	-999	26.795	-999	116.075	-999	18	-999	11	-999	-999	2	2	4.5	6	-999	1	3	-999	588	623	532.5	576	676	646	720	699	677	153	68	81	67	65.25	54	68	88	80	71	103	216.5	220	201.5	180	177.5	166	271	191	-999	35	42.5	-999	-999	-999	-999	-999	-999	-999	4	5	0	-999	55	2	3	1	0	0	1	-999	-999	28	25	14	13	4	8	8	5	-999	-999	148	188	112	158	279	290	266.5	222	243.5	244	314	243	12	6	11	9	12	10	7	11	-999	0	-999	0	0	-999	-999	-999	65	55	50	45	35	50	50	60	60	55
A441_5	-999	-999	-999	22.39	-999	9.985	86	102	80	58	86	78	76	90	78	-999	84	100	78.5	57	84	76	75	87	77	-999	-999	-999	-999	97.575	-999	-999	-999	10	-999	-999	14	7	9	6	-999	5	2	-999	695	631	774.75	721	803	784	741	827	808	116	107	116	91	94.75	84	91	108	96	128	111	191	178	163.5	168	150	154	182	206	-999	65	57.5	-999	65	-999	-999	-999	-999	-999	3	4.333333333	0	-999	-999	1	3	-999	0	1	3	1	-999	25	26	17	26	7	4	12	8	-999	-999	-999	130	122	125	256	217	232.5	233	241	248	286	270	16	9	9	10	13	20	12	14	-999	0	0	0.5	1	-999	-999	-999	60	65	40	52.5	40	60	65	40	50	-999
