SNP,order,CHR,POS,VALUE,method,bin,effect,h2
10_121407133,33,10,121407133,0.4042,bayes,10_1214,0.417540937,0.004774035
10_135043790,34,10,135043790,0.2313,bayes,10_1350,0.93670745,0.010024973
10_137881930,35,10,137881930,0.1015,bayes,10_1379,0.967705715,0.011549046
10_137903044,36,10,137903044,15.37306209,snptest,10_1379,0.525252025,0.015012069
10_137943511,37,10,137943511,0.0781,bayes,10_1379,0.741423366,0.010289367
10_137951908,38,10,137951908,0.1391,bayes,10_1380,0.766943407,0.011217465
10_137955409,39,10,137955409,0.1055,bayes,10_1380,0.719533729,0.010742164
10_137989336,40,10,137989336,14.95603709,snptest,10_1380,0.503108631,0.014357464
10_137998831,41,10,137998831,0.0944,bayes,10_1380,0.893137038,0.011268116
10_138019385,42,10,138019385,15.24424552,snptest,10_1380,0.521543193,0.015398104
10_141509779,43,10,141509779,0.09,bayes,10_1415,0.882569842,0.011696933
10_141509800,44,10,141509800,7.26257888,stepwise,10_1415,0.995686527,0.012236184
10_54742641,32,10,54742641,6.35676493,stepwise,10_547,0.426385246,0.002938865
10_54742641,32,10,54742641,0.052,bayes,10_547,0.426385246,0.002938865
10_9360960,30,10,9360960,3.15330163,stepwise,10_94,0.599469583,0.004113159
10_9362813,31,10,9362813,36.52585351,snptest,10_94,0.033304913,5.65E-05
1_14416971,3,1,14416971,0.1043,bayes,1_144,-0.474231057,0.003329246
1_14416985,4,1,14416985,0.2069,bayes,1_144,-0.54711795,0.004248354
1_14416985,4,1,14416985,4.03769706,stepwise,1_144,-0.54711795,0.004248354
1_15518012,5,1,15518012,0.067,bayes,1_155,-0.541224227,0.002380015
1_15518012,5,1,15518012,3.64076439,stepwise,1_155,-0.541224227,0.002380015
1_185874440,20,1,185874440,9.64879056,stepwise,1_1859,-0.496546935,0.004456513
1_202995760,21,1,202995760,5.44490902,stepwise,1_2030,0.17724349,0.000340356
1_202996451,22,1,202996451,0.0867,bayes,1_2030,0.357182653,0.001069024
1_203086382,23,1,203086382,0.516,bayes,1_2031,-0.545770554,0.006025396
1_209034237,24,1,209034237,8.40875154,stepwise,1_2090,-0.816170081,0.007075231
1_22688691,6,1,22688691,0.5913,bayes,1_227,-0.613948688,0.010301733
1_25401487,7,1,25401487,0.0211,bayes,1_254,-0.66719093,0.006120183
1_25422726,8,1,25422726,0.0259,bayes,1_254,-0.592479586,0.005216593
1_25439265,9,1,25439265,87.14175849,snptest,1_254,-0.285723049,0.000869729
1_27193154,10,1,27193154,21.3767871,snptest,1_272,-0.376616876,0.002563467
1_27193157,11,1,27193157,21.3767871,snptest,1_272,-0.376616876,0.002563467
1_27193158,12,1,27193158,21.3767871,snptest,1_272,-0.376616876,0.002563467
1_27193272,13,1,27193272,21.3767871,snptest,1_272,-0.376616876,0.002563467
1_27193273,14,1,27193273,18.83514513,snptest,1_272,-0.415729473,0.003536341
1_27193281,15,1,27193281,21.3767871,snptest,1_272,-0.376616876,0.002563467
1_27205707,16,1,27205707,0.0242,bayes,1_272,-0.78763292,0.008120768
1_293634086,25,1,293634086,0.281,bayes,1_2936,0.43674005,0.004465978
1_293806450,26,1,293806450,8.50686723,stepwise,1_2938,0.414870139,0.002035775
1_298276980,27,1,298276980,3.57009128,stepwise,1_2983,0.391499108,0.001570508
1_298329099,28,1,298329099,0.0231,bayes,1_2983,0.531840385,0.004992553
1_300008663,29,1,300008663,8.56448864,stepwise,1_3000,0.67417225,0.005591624
1_34263565,17,1,34263565,7.41307971,stepwise,1_343,0.300865909,0.001237748
1_34263565,17,1,34263565,0.0781,bayes,1_343,0.300865909,0.001237748
1_3740636,1,1,3740636,0.0706,bayes,1_37,-0.375980678,0.00180315
1_3746867,2,1,3746867,6.22381102,stepwise,1_37,0.009879715,0
1_68182349,18,1,68182349,9.38086836,stepwise,1_682,0.208980506,0.00062725
1_68182367,19,1,68182367,0.0621,bayes,1_682,0.208980506,0.00062725
2_16873627,45,2,16873627,0.3676,bayes,2_169,0.477983388,0.00499926
